book_id,title,authors,book_url,image_url,description,created_at,pdf_file_path,epub_file_path,mobi_file_path
57,Sociology and Nursing,Peter Morrall,http://books.google.com/books?id=P4lD589YFtsC&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=P4lD589YFtsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
58,Evidence-based Practice in Nursing,Peter Ellis,http://books.google.com/books?id=6BUFDAAAQBAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=6BUFDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
59,The Clinical Placement,"Tracy Levett-Jones, Sharon Bourgeois",http://books.google.com/books?id=V4dY3XcrvhsC&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=V4dY3XcrvhsC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
60,Potter & Perry's Fundamentals of Nursing,Catherine Taylor,http://books.google.com/books?id=E3xiIQ1vPCUC&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=E3xiIQ1vPCUC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2024-10-18 16:39:02,,,
61,Study Guide for Fundamentals of Nursing,"Carol Lillis, Priscilla LeMone, Marilee LeBon, Pamela Lynn",http://books.google.com/books?id=1JNruFbpZ4cC&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=1JNruFbpZ4cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
62,Nursing Theorists and Their Work,"Martha Raile Alligood, PhD, RN, ANEF",http://books.google.com/books?id=qbAKAQAAQBAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=qbAKAQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
63,Nursing Management of Women’s Health,Debra Holloway,http://books.google.com/books?id=ekGjDwAAQBAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=ekGjDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
64,ACCCN's Critical Care Nursing,"Doug Elliott, Leanne Aitken, Wendy Chaboyer, Andrea Marshall",http://books.google.com/books?id=8Yg1lsItNdYC&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=8Yg1lsItNdYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
65,Perioperative Nursing,"Lois Hamlin, Marilyn Richardson-Tench, Menna Davies",http://books.google.com/books?id=oY-ginQh0DcC&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=oY-ginQh0DcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
66,Nursing and Nursing Education in the United States,"Committee for the Study of Nursing Education (U.S.), Josephine Goldmark",http://books.google.com/books?id=V7Q0AQAAMAAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=V7Q0AQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2024-10-18 16:39:02,,,
67,Introduction to Community Nursing Practice,Jane Arnott,http://books.google.com/books?id=uDmRpwAACAAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=uDmRpwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2024-10-18 16:39:02,,,
68,Nursing The Acutely Ill Adult: Case Book,"Page, Karen, McKinney, Aidin",http://books.google.com/books?id=lD-GJXE-y5AC&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=lD-GJXE-y5AC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
69,Understanding Nursing Research E-Book,"Susan K. Grove, Jennifer R. Gray",http://books.google.com/books?id=cxNkDwAAQBAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=cxNkDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
70,Managing and Coordinating Nursing Care,"Janice Rider Ellis, Celia Love Hartley",http://books.google.com/books?id=qxJtAAAAMAAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=qxJtAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2024-10-18 16:39:02,,,
71,Nursing Perspectives & Issues,"Gloria M. Grippando, Paula R. Mitchell",http://books.google.com/books?id=_B5tAAAAMAAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=_B5tAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2024-10-18 16:39:02,,,
72,Personal Hygiene and Home Nursing,Louisa Christiana Lippitt,https://play.google.com/store/books/details?id=iVkAAAAAYAAJ&source=gbs_api,http://books.google.com/books/content?id=iVkAAAAAYAAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
73,Tenderness and Technique,Genevieve Rogge Meyer,http://books.google.com/books?id=SSdtAAAAMAAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=SSdtAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2024-10-18 16:39:02,,,
74,"Research in Nursing, Midwifery and Allied Health: Evidence for Best Practice","Marilyn Richardson-Tench, Patricia Nicholson, Beverley Taylor, Stephen Kermode",http://books.google.com/books?id=-XNRDwAAQBAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=-XNRDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
75,Cancer Chemotherapy,Margaret Barton-Burke,http://books.google.com/books?id=iJBvST6bsDcC&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=iJBvST6bsDcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
76,Leadership and Management in Nursing Practice and Education,Rebecca Samson,http://books.google.com/books?id=PWnOygAACAAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=PWnOygAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2024-10-18 16:39:02,,,
77,Fundamentals of Nursing Vol 2- 9th Indonesian edition,"Patricia A. Potter, Anne G. Perry, Patricia A. Stockert, Amy Hall",http://books.google.com/books?id=vez3DwAAQBAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=vez3DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
78,Law and Ethics in Nursing and Healthcare,Graham Avery,http://books.google.com/books?id=mAJADQAAQBAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=mAJADQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
79,Classification of Nursing Diagnoses,"Kristine M. Gebbie, Mary Ann Lavin",http://books.google.com/books?id=lf5sAAAAMAAJ&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=lf5sAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2024-10-18 16:39:02,,,
80,High-Fidelity Patient Simulation in Nursing Education,"Wendy Nehring, Felissa Lashley",http://books.google.com/books?id=EJpZU0saqo0C&dq=nursing&hl=&source=gbs_api,http://books.google.com/books/content?id=EJpZU0saqo0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:39:02,,,
81,Encyclopedia of Computer Science,"Edwin D. Reilly, Anthony Ralston, David Hemmendinger",http://books.google.com/books?id=yQ9LAQAAIAAJ&dq=computer+science&hl=&source=gbs_api,http://books.google.com/books/content?id=yQ9LAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2024-10-18 16:40:49,,,
82,Introduction to Programming and Computer Science,Anthony Ralston,http://books.google.com/books?id=are0AAAAIAAJ&dq=computer+science&hl=&source=gbs_api,http://books.google.com/books/content?id=are0AAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2024-10-18 16:40:49,,,
83,Foundations of Computer Science,Ashok Arora,http://books.google.com/books?id=CrcoszZBMowC&dq=computer+science&hl=&source=gbs_api,http://books.google.com/books/content?id=CrcoszZBMowC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:40:49,,,
84,Explorations in Computing,John S. Conery,http://books.google.com/books?id=PxrSBQAAQBAJ&dq=computer+science&hl=&source=gbs_api,http://books.google.com/books/content?id=PxrSBQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:40:49,,,
85,Introduction to Computer Science,"Douglas W. Nance, Thomas L. Naps",http://books.google.com/books?id=8M3J-0l7jF4C&dq=computer+science&hl=&source=gbs_api,http://books.google.com/books/content?id=8M3J-0l7jF4C&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2024-10-18 16:40:49,,,
86,"Computing Handbook, Third Edition","Teofilo Gonzalez, Jorge Diaz-Herrera, Allen Tucker",http://books.google.com/books?id=vMqSAwAAQBAJ&dq=computer+science&hl=&source=gbs_api,http://books.google.com/books/content?id=vMqSAwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:40:49,,,
87,Computer Science Illuminated,"Nell Dale, John Lewis",http://books.google.com/books?id=582qwYV32dQC&dq=computer+science&hl=&source=gbs_api,http://books.google.com/books/content?id=582qwYV32dQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:40:49,,,
88,Computer Science Illuminated,"Nell B. Dale, John Lewis",http://books.google.com/books?id=3ls6K2cJW_0C&dq=computer+science&hl=&source=gbs_api,http://books.google.com/books/content?id=3ls6K2cJW_0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:40:49,,,
89,What Is Computer Science?,"Daniel Page, Nigel Smart",http://books.google.com/books?id=wjW5BAAAQBAJ&dq=computer+science&hl=&source=gbs_api,http://books.google.com/books/content?id=wjW5BAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,,2024-10-18 16:40:49,,,
